Thu Nov 15 06:48:13 2018,  TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:13 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:14 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:17 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:19 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:22 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:23 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:26 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:28 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:31 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:32 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:35 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:37 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:40 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:41 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:44 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:46 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:49 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:50 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:53 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:55 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:58 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
